Dialect,Website (youtube/something else),Source link,Duration,number of speakers
Najdi / Saudi,You Tube,https://youtu.be/idrh2N1l1YI?si=tvkGhy0m467gthEh,02.11.43,3
Najdi / Saudi,You Tube,https://youtu.be/EyJZ7bjpcFQ?si=01931aaJvWwcLxHL,0.58.43,2
Najdi / Saudi,You Tube,https://youtu.be/hs45TYDOtkg?si=vAME_UftGYiFuRFy,01.19.39,2
Najdi / Saudi,You Tube,https://youtu.be/CdtqrZwPDVw?si=QchYkKTwLdoxiZVO,01.41.21,2
Najdi / Saudi,You Tube,https://youtu.be/J8XKUbHkJkQ?si=GKQinzUh4IMkx05f,01.46.26,2
Najdi / Saudi,You Tube,https://youtu.be/UY7lpeNd7CM?si=UAIgD6TMJf8jDVpd,01.39.31,2
Najdi / Saudi,You Tube,https://youtu.be/sqv44Msl6rg?si=I9lJ7Xym6_W2TlzV,03.10.35,2
Najdi / Saudi,You Tube,https://youtu.be/1vTrfwHKRUE?si=q7rQGdwS-eoAUR4r,01.44.56,2
Najdi / Saudi,You Tube,https://youtu.be/r3cEirpzcrU?si=bu_dKx4_Ftg5M07o,01.31.45,2
Najdi / Saudi,You Tube,https://youtu.be/VeZ2uYmu2gI?si=0xmYhNC4pRHiQA48,01.15.28,2
Najdi / Saudi,You Tube,https://youtu.be/nVdF6zITyjk?si=Pmm9T2AvgN8csR_s,01.33.36,2
Najdi / Saudi,You Tube,https://youtu.be/0wCQ7oeMuuo?si=a_WRI4wbXZdBalfU,02.02.47.,2
Najdi / Saudi,You Tube,https://youtu.be/HWS2dgLS9iw?si=v-48cst4U13TRPQ0,01.10.00,2
Najdi / Saudi,You Tube,https://youtu.be/JE9kzcM-1ss?si=-7X6kNv3BFEa7cHi,01.16.37,2
Najdi / Saudi,You Tube,https://youtu.be/vvYZboSBzDQ?si=q6aSgSXOoD9wBz96,02.14.16,2
Najdi / Saudi,You Tube,https://youtu.be/c-1l1lfXma0?si=qnjgMPjUTUPJ5hbE,01.48.18,2
Najdi / Saudi,You Tube,https://youtu.be/qCyEWfIU_3Q?si=f4Ll7Rlurg7ijDFn,02.12.40,2
Najdi / Saudi,You Tube,https://youtu.be/AP5KO5pg844?si=WI305DBHnrgr8Z4v,01.02.39,2
Najdi / Saudi,You Tube,https://youtu.be/TItcJ2xoiRQ?si=2OiVaypOpvOW8wel,01.51.36,2
Najdi / Saudi,You Tube,https://youtu.be/sh9vqiN5w7o?si=3Fbx772jiG8gNmuc,01.52.23,2
Najdi / Saudi,You Tube,https://youtu.be/SW13NtYLXAo?si=-VrZaDrQDAza9CRe,01.03.34,2
Najdi / Saudi,You Tube,https://youtu.be/scr2tyjsUjE?si=Qow0Yj_iWxI7NsRZ,01.07.24,2
Najdi / Saudi,You Tube,https://youtu.be/923sHFJ3b9g?si=JPaJN7HkjEcbhE3A,02.51.21,2
Najdi / Saudi,You Tube,https://youtu.be/9JyqeiRr3YU?si=dmddcd7z33aBJOfe,01.56.37,2
Najdi / Saudi,You Tube,https://youtu.be/RZsFcz6l1uU?si=nlciNUXKm-M01Jm8,01.53.27,2
Najdi / Saudi,You Tube,https://youtu.be/75pR1PZw8PE?si=aDLtFUfPNQKpCZN0,01.28.07,2
Najdi / Saudi,,,,
